CID,IUPACName,MolecularFormula,IsomericSMILES,A_site,Conc(mg/ml),H_Acceptors,H_Donors,Rot_bonds,Mol_Wt,TPSA,AvgIpc,Hydrogen,Oxide,Nitrogen,Halide
222556.0,"2,4,6-triiodoaniline",C6H4I3N,C1=C(C=C(C(=C1I)N)I)I,0.0,2.0,1,1,1,470.8169999999999,26.02,2.112066060343762,4,0,1,3
28159.0,"2,6-dimethyl-4-nitroaniline",C8H10N2O2,CC1=CC(=CC(=C1N)C)[N+](=O)[O-],0.0,2.0,3,1,4,166.1800000000001,69.16,2.2238176637933176,10,2,2,0
379.0,octanoic acid,C8H16O2,CCCCCCCC(=O)O,0.0,2.0,2,1,7,144.21400000000014,37.3,2.432514472767907,16,2,0,0
612.0,2-hydroxypropanoic acid,C3H6O3,CC(C(=O)O)O,0.0,2.0,3,2,3,90.07799999999997,57.53,1.9894655163881902,6,3,0,0
978.0,4-aminobenzoic acid,C7H7NO2,C1=CC(=CC=C1C(=O)O)N,0.0,2.0,3,2,2,137.13800000000003,63.31999999999999,2.2585839134097436,7,2,1,0
370.0,"3,4,5-trihydroxybenzoic acid",C7H6O5,C1=C(C=C(C(=C1O)O)O)C(=O)O,0.0,2.0,5,4,4,170.12000000000003,97.99,2.3720847060677865,6,5,0,0
1066.0,"pyridine-2,3-dicarboxylic acid",C7H5NO4,C1=CC(=C(N=C1)C(=O)O)C(=O)O,0.0,2.0,5,2,2,167.12000000000003,87.49,2.33155439513439,5,4,1,0
967.0,"2,4-dioxo-1H-pyrimidine-6-carboxylic acid",C5H4N2O4,C1=C(NC(=O)NC1=O)C(=O)O,0.0,2.0,4,3,1,156.097,103.02,2.2319351642651286,4,4,2,0
3845.0,4-oxo-1H-quinoline-2-carboxylic acid,C10H7NO3,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O,0.0,2.0,3,2,1,189.17000000000002,70.16,2.457675088420688,7,3,1,0
3442.0,5-butylpyridine-2-carboxylic acid,C10H13NO2,CCCCC1=CN=C(C=C1)C(=O)O,0.0,2.0,3,1,5,179.2190000000001,50.19,2.4790777430407416,13,2,1,0
5570.0,1-methylpyridin-1-ium-3-carboxylate,C7H7NO2,C[N+]1=CC=CC(=C1)C(=O)[O-],0.0,2.0,2,0,2,137.13800000000003,44.01,2.1129569318075276,7,2,1,0
72924.0,6-oxo-1H-pyridine-3-carboxylic acid,C6H5NO3,C1=CC(=O)NC=C1C(=O)O,0.0,2.0,3,2,1,139.11000000000004,70.16,2.2319351642651286,5,3,1,0
